model_id,params_total,flops_total,model_size_mb,primary_metric_name,primary_metric_value,latency_ms,throughput_fps,hardware_tier,cost_per_month_usd,cost_per_1k_inferences_usd
yolov8n_fp32,3005843,8140497248,11.466381072998047,mAP@50,0.44030637549030166,0.0,0.0,T4,360.0,0.00046527762048468235
yolov8n_fp16,3005843,8140497248,5.733190536499023,,0.0,0.0,0.0,T4,360.0,0.00046527762048468235
yolov8n_int8,3006223,119278243,2.8832969665527344,,0.0,0.0,0.0,T4,360.0,6.817457876085964e-06
